852218,175660000,14273000,4101000,26659000,170095000,41215000,3294000,113899000,382000,285291000,274214000,1884000,91077000,33291000,83754000,2612000,24175000,114907000,4774000,448407000
480228,114276595,52930092,1813494,6841649,290852035,11237181,442458,1795881,1333536,14692165,399832734,1127395,150262640,46351921,69187063,9896,15151344,74074426,5522172,233405760
476810,121178000,65342000,26726000,20928000,58388000,12938000,288000,79624000,3304000,68808000,141885000,54212000,36912000,91398000,111505000,60693000,25582000,78115000,7625000,269233000
451965,128397000,1620000,2295000,32376000,122618000,30338000,9359000,9986000,113000,30829000,451319000,1329000,145819000,3955000,96159000,0,17140000,60230000,9288000,127189000
504713,8252302,3413098,928865,6453338,61596789,645731,846032,13597,158383,74234,110846079,34458,45441420,588163,41002085,0,547300,25655341,1213820,41608084
817824,9164174,3689961,844052,2970323,46022807,6519148,1011213,1113763,362670,1741009,84702621,2983,54083805,1379107,24969293,0,168213,24431826,1676609,34209866
541101,127511000,17788000,873000,6133000,50568000,3498000,1844000,14963000,1427000,1307000,4265000,36000,65000,1543000,146000,0,6204000,15767000,394000,28386000
112837,21571729,1551838,550959,94990,44161526,5828839,1022406,866889,40353,6861861,65210261,0,13492814,0,54072355,0,70390,8259357,1981523,27317689
35301,52644220,3375,5837823,7625114,39728715,28865374,5297636,32487593,769538,5015541,410886,0,48597,0,131215,0,25636,11813028,332431,27692904
497404,12570684,12007,3671834,1072,34652149,23229315,217528,10289106,38039,2000000,51911083,0,16092407,0,16295275,0,2219,9518255,943088,23582554
413208,14073671,37826059,4401189,331503,23276170,343099,25847,5352377,172852,3148998,26758626,0,21708321,800463,1358937,109616,4322078,5470906,624142,37331958
852320,3609331,168799,3608308,2335357,31619042,684100,879,0,0,827665,75420841,0,15534531,330375,10178806,0,157164,11721225,434614,23170397
1830035,41815716,0,0,10015,169612,0,0,2485883,1049092,0,1300,0,6014087,0,98904365,13535289,23446,2428299,611494,6572206
675332,7097670,310490,2173985,256018,18154545,185744,40816,5100,56108,53239,59592155,0,33516292,0,19391705,0,46172,12223204,631748,17514886
489913,1782113,0,0,0,23,0,0,0,1000,4198708,0,0,4941070,0,93870354,0,0,2058,977983,19221777
233031,5615568,15750,548550,1483,23110255,6276,2090618,734044,120205,0,44630841,0,18619397,0,4379276,0,0,7758847,556668,14151779
723112,4863498,40693,1917598,511957,9879426,1209768,917370,3050,132116,1000,35022649,0,30666273,269317,14516202,0,734111,7372834,844313,11993780
2182786,59362000,6379000,0,31000,186000,0,0,0,0,1508000,3657000,0,4939000,0,464000,0,699000,4983000,409000,35939000
3303298,6955817,15021,0,8468,9167062,4148,0,0,0,1100000,38210266,0,16873057,0,13193482,0,273846,5210379,975555,13872527
