852218,146680000,8301000,4681000,15760000,183102000,41185000,12218000,96759000,415000,255018000,277075000,1248000,77459000,37784000,82073000,2643000,28211000,95075000,4074000,463424000
480228,123656103,50524846,2255388,4969913,243234871,10991202,1182199,9045261,2512424,36909055,429658123,1284777,126553137,46846433,76397756,10138,10290329,59809524,7034885,239894457
476810,168056000,28827000,21987000,15264000,55869000,10769000,652000,76135000,3519000,74737000,140215000,50977000,29621000,87926000,117349000,62851000,34722000,70065000,7589000,256578000
451965,43135000,1327000,3159000,25172000,146865000,25532000,9693000,9415000,726000,27376000,437147000,1570000,136445000,3590000,88633000,0,23118000,49190000,8905000,136852000
504713,13960499,2880047,634983,6490256,57624546,726277,947160,13382,173849,11887,105704475,9823,39011794,425012,40695129,0,625333,22268891,1263232,41561830
817824,5208556,2920395,2058334,2472559,48129068,4924622,843303,911391,318852,2204594,76205416,20710,45901272,924959,22509112,0,153692,16411235,1812269,33727301
541101,121318000,16692000,756000,2783000,37131000,2089000,2988000,15279000,242000,626000,4383000,205000,352000,1266000,49000,0,6462000,14426000,387000,29177000
35301,60496516,1727369,1108986,7154554,37599432,29531950,3615109,27653073,278626,7045136,460525,0,28398,0,146601,0,9303,9587340,304710,25664356
413208,24715211,18834465,2855170,370390,25909742,361260,544011,6570038,140201,3109055,26942362,29997,15981607,816731,22803118,98608,5339667,5422715,615671,45292853
497404,8401746,127999,3921408,177387,21684203,21242309,5972872,20833234,56264,2000000,46720102,0,14271090,0,12586076,0,11039,7093688,991795,23782973
1830035,27618490,0,0,18475,201373,0,0,2607402,0,0,1323,0,6432617,885260,109583413,16303285,322309,2234272,779926,8739214
675332,3690898,767089,2114099,377066,21221432,442114,39914,5000,664435,319823,63673535,0,29895126,0,20104589,0,61532,10901083,740488,18729383
852320,4192722,125899,569268,2247923,32567307,525947,879,0,236,923665,72269614,0,14414706,305296,9449456,0,391017,9487251,498525,22923722
112837,3885244,53711,236169,209821,22745848,6073870,0,14053,36243,0,30985473,0,12575329,0,28855540,0,68557,5321687,1030825,22946737
489913,2844888,0,0,0,31,0,44,0,1000,283477,0,0,6328681,0,96819542,0,0,2284,886251,20110146
233031,6884762,69395,146207,21655,22837772,7039,345485,178349,107501,0,50769660,0,16890553,0,3989075,0,0,7236552,700651,15928951
723112,4445669,170518,1962893,429522,10823633,455488,819485,3050,138470,500,36544089,0,25503340,84304,14100746,0,866704,6752455,842131,12130372
3303298,6221372,15027,0,78800,13411956,4467,0,500,0,0,41632785,0,14552362,0,12697953,0,261463,4509850,1034407,13968549
2182786,40861000,1402000,0,18000,23000,0,0,0,0,4689000,1877000,0,3942000,0,380000,0,0,5776000,414000,44414000
210434,36803468,4029436,12022882,545243,5371867,1735400,1903101,2855678,0,121306,14642341,0,4513109,242871,452941,1664,13262,9200125,436853,5234480
75633,20139819,170496,2231581,1268383,5935115,1422043,244362,1336039,21729,1687257,30213298,0,11244397,52862,5961041,0,746974,2957070,795672,11613449
212465,4164624,13654,7013796,75349,15282838,1556968,129156,101,71618,11668,33283642,0,14992515,1066156,181465,0,12415,3173817,463645,8211091
280110,3995924,8996,93,62791,18031977,0,5000,13000,1,10250,21756109,0,15177640,61913,8895494,0,24281,10132327,384557,8746171
