852218,110171000
480228,112939613
476810,97686000
484422,73075000
451965,43465000
504713,22616545
413208,12361384
675332,20055458
1830035,42911264
259518,15216778
35301,11400964
233031,21482059
852320,13860082
3303298,17615449
817824,14973392
541101,8641000
112837,20446501
280110,9541523
486752,11290236
489913,23657278
455534,14757011
210434,3668322
60143,5886128
501105,6932419
723112,5579238
1225800,3680883
804963,8859226
697633,13677590
212465,4646305
983448,5619330
12311,6280614
913940,6796988
363415,8950396
497404,9692900
75633,4109797
934329,5623294
1456501,3449000
214807,9026000
485559,2600134
445843,5859892
3041974,4489209
3344611,1980159
2253891,4501924
30810,3489909
3284070,3415113
694904,4186820
3212149,1912562
2362458,1672000
570231,2579309
940311,1948000
1494240,3401574
3278305,2369300
1394676,2911474
917742,2569563
1443266,1137854
276579,1049713
2121196,1475920
510871,1494478
761806,1967774
266271,1078697
752970,993826
63069,1561357
601050,1295895
339858,955317
688079,1109000
491224,1325862
682563,1743487
310727,1549483
606046,1349915
980661,2480112
229801,1065411
137915,760043
2736291,1487330
43173,1304241
222147,1164434
741871,1392723
676656,2159351
197478,1236967
44602,1739231
169653,1228805
795968,770506
873138,1142236
2867056,1027126
67311,890283
665931,929438
595869,1121335
272218,912982
837260,1056575
311845,922065
527954,712172
320119,634973
1001152,963239
816210,623143
259031,944497
342634,985553
802110,1128019
671576,562928
877369,1854510
1017939,889846
143662,1463254
474919,800899
1007846,892247
249612,723891
362007,1282880
656733,1007188
3181197,925172
936855,629357
208244,723879
2777650,350954
785062,781488
2980209,1016523
559777,541797
1002878,717407
128904,789402
170716,523249
682611,1147418
83638,481828
664756,1194136
3376461,959319
802866,605070
204004,887886
933966,546026
93721,614193
2643438,611121
363956,834432
437521,380184
395238,877446
42420,638787
762661,275391
379920,655082
295552,531611
2502656,2534802
35570,701492
701062,763647
2942690,432971
245276,303987
101019,459817
782904,972267
130943,564280
832377,659490
2582023,615750
1004368,588606
663834,538719
702117,459739
659855,421070
938840,362767
494261,939121
58243,345910
580623,448772
1224812,485358
45627,501654
978154,572108
543253,847537
202907,534153
661308,274278
101233,351083
1842065,458142
659257,326700
15536,472407
635859,411755
533852,652419
352772,479885
2618780,419905
697763,420762
968605,762064
1010930,315811
918918,461941
859712,556239
991340,392007
365325,610609
645625,484645
150071,354070
657365,446744
229913,1041239
2925666,549233
284819,407398
456960,299702
58971,329147
542649,503291
1386251,383281
416245,508987
888002,332571
968436,511466
749242,472855
810919,556530
463735,282103
808176,358773
424035,280101
